Address,City,State,Zip_Code,Rent_Per_Month,Year,Days_on_Trulia,Type,Sqft,Phone_Number,Bedroom_min,Bedroom_max,Bathroom_min,Bathroom_max,Assault,Arrest,Theft,Vandalism,Burglary,Crime_Other,Elementary_School_Count,Elementary_School_Avg_Score,Middle_School_Count,Middle_School_Avg_Score,High_School_Count,High_School_Avg_Score,Driving,Transit,Walking,Cycling,Restaurant,Groceries,Nightlife,Cafe,Shopping,Entertainment,Beauty,Active_life,Latitude,Longitude,EPA_Region,Population,Input_area.sq..miles.,Particulate_Matter,Ozone,NATA._Diesel_PM,NATA._Air_Toxics_Cancer_Risk,NATA._Respiratory_Hazard_Index,Traffic_Proximity_and_Volume,Lead_Paint_Indicator,Superfund_Proximity,RMP_Proximity,Hazardous_Waste_Proximity,Wastewater_Discharge_Indicator,Demographic_Index.,Minority_Population.,Low_Income_Population.,Linguistically_Isolated_Population.,Population_with_Less_Than_High_School_Education.,Population_under_Age_5.,Population_over_Age_64.,URL,Short_form_ID,STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,UATYPE,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10
3201 Downwood Circle Northwest,Atlanta,GA,30327,"$1,429 - $2,930",2015,200,Apartment,"700-1,240",,1,1,1,1,3,NA,113,NA,11,NA,1,8,1,6,1,7,99,0,0,0,11,1,3,2,17,1,14,4,33.841397,-84.426103,4,5555,3.14,10.2,34.9,1.5,56,2.6,1800,0.22,0.012,1.6,0.069,0.0049,9,8,10,3,1,6,22,https://www.trulia.com/c/ca/atlanta/bell-buckhead-west-3201-downwood-cir-nw-atlanta-ga-30327--1999997719,4035629606,13,121,9801,1006,1.3121E+14,Block 1006,G5040,U,3817,U,S,399735,0,33.8415076,-84.4238954
500 Northside Circle Northwest,Atlanta,GA,30309,"$999 - $1,649",NA,133,Apartment,"750-1,175",,1,1,1,1,17,2,417,NA,NA,NA,1,7,1,6,1,7,88,5,0,6,136,5,39,25,215,37,148,51,33.799475,-84.402548,4,13239,3.14,10.2,34.7,2.35,62,3.2,8800,0.21,0.012,1,0.065,0.0011,36,41,30,3,3,4,3,https://www.trulia.com/c/ca/atlanta/500-northside-500-northside-cir-nw-atlanta-ga-30309--1136593543,4014976403,13,121,8902,2007,1.3121E+14,Block 2007,G5040,U,3817,U,S,217425,0,33.7987296,-84.4017161
915 West Peachtree Street NW,Atlanta,GA,30309,"$1,645 - $8,849",NA,140,Apartment,"707-2,654",,0,0,1,1,15,NA,400,NA,27,NA,1,9,1,8,1,6,88,5,0,6,254,8,98,47,141,78,113,60,33.779533,-84.387205,4,34071,3.14,10.2,34.7,3.3,74,4.1,7700,0.26,0.012,0.69,0.072,5.80E-05,38,42,27,2,3,2,4,https://www.trulia.com/c/ca/atlanta/nine15-midtown-915-w-peachtree-st-nw-atlanta-ga-30309--2185743570,4036734243,13,121,1202,1013,1.3121E+14,Block 1013,G5040,U,3817,U,S,8302,0,33.7791167,-84.3867884
1824 Defoor Avenue NW,Atlanta,GA,30318,"$1,360 - $2,015",2015,326,Apartment,"716-1,278",,1,1,1,1,1,NA,88,NA,12,NA,1,7,1,6,1,7,79,17,0,0,0,0,0,0,0,0,0,0,33.804904,-84.423886,4,10187,3.14,10.2,34.7,2.06,58,2.9,4400,0.17,0.012,2.6,0.062,0.0043,32,38,26,4,3,5,6,https://www.trulia.com/c/ca/atlanta/1824-defoor-1824-defoor-ave-nw-atlanta-ga-30318--1999997580,4036505644,13,121,8902,1029,1.3121E+14,Block 1029,G5040,U,3817,U,S,162091,0,33.8041757,-84.4245628
100 Lenox Park Circle Northeast,Atlanta,GA,30319,"$1,044 - $1,813",1995,326,Apartment,"554-1,322",,1,1,1,1,80,248,305,NA,NA,NA,1,3,1,4,1,5,90,8,0,1,101,4,21,22,323,8,66,29,33.847973,-84.34792,4,20614,3.14,10.1,35.1,1.66,59,2.7,1200,0.097,0.011,0.26,0.12,5.70E-05,37,42,31,9,9,6,12,https://www.trulia.com/c/ca/atlanta/evergreen-lenox-park-100-lenox-park-cir-ne-atlanta-ga-30319--2092124241,4027157354,13,89,21415,2001,1.3089E+14,Block 2001,G5040,U,3817,U,S,14781,0,33.8479336,-84.3479352
1020 Lenox Park Boulevard Northeast,Atlanta,GA,30319,"$1,165 - $3,915",NA,110,Apartment,"658-1,444",,1,1,1,1,80,248,305,NA,NA,NA,1,7,1,6,1,7,90,8,0,1,100,3,19,24,326,8,68,27,33.849878,-84.348582,4,18712,3.14,10.1,35.2,1.61,59,2.7,1200,0.11,0.011,0.26,0.12,7.00E-05,31,36,26,6,7,6,13,https://www.trulia.com/c/ca/atlanta/post-gardens-1020-lenox-park-blvd-ne-atlanta-ga-30319--2092124309,4006502817,13,121,9404,2003,1.3121E+14,Block 2003,G5040,U,3817,U,S,29480,0,33.8499843,-84.3494475
207 13th Street Northeast,Atlanta,GA,30309,"$1,610 - $6,470",2017,320,Apartment,"540-1,923",,0,0,1,1,15,NA,400,NA,27,NA,1,9,1,8,1,6,88,5,0,6,264,9,106,44,163,78,183,74,33.785356,-84.380531,4,26159,3.14,10.2,34.7,3.1,72,3.9,3600,0.36,0.012,0.68,0.071,6.70E-06,27,32,19,2,2,2,6,https://www.trulia.com/c/ca/atlanta/yoo-on-the-park-207-13th-st-ne-atlanta-ga-30309--2092043171,4036348096,13,121,1100,1000,1.3121E+14,Block 1000,G5040,U,3817,U,S,39969,0,33.7848459,-84.3804369
1500 Huntcliff Village Court,Atlanta,GA,30350,"$1,110 - $2,035",1996,754,Apartment,"702-1,358",,1,1,1,1,1,NA,3,NA,1,NA,1,5,1,5,1,7,95,5,0,0,36,3,7,6,31,6,32,23,33.999852,-84.353283,4,12722,3.14,9.98,36,1.2,53,2.2,1400,0.037,0.012,0.13,0.079,0.0011,49,59,40,7,8,8,12,https://www.trulia.com/c/ca/atlanta/hannover-grand-at-sandy-springs-apartment-homes-1500-huntcliff-village-ct-atlanta-ga-30350--2030544598,9000029225,13,121,10208,1004,1.3121E+14,Block 1004,G5040,U,3817,U,S,8262,0,33.9997044,-84.3534256
2144 Peachtree Road Northwest,Atlanta,GA,30309,"$1,491 - $3,972",2016,616,Apartment,"734-1,643",,1,1,1,1,1,NA,80,NA,10,NA,1,7,1,6,1,7,88,5,0,6,57,3,13,5,100,6,88,35,33.812817,-84.39251,4,14200,3.14,10.2,34.8,2.04,61,3,4000,0.27,0.012,0.9,0.072,0.00016,21,24,18,1,3,5,13,https://www.trulia.com/c/ca/atlanta/venue-brookwood-2144-peachtree-rd-nw-atlanta-ga-30309--2196789981,4025552915,13,121,9101,3001,1.3121E+14,Block 3001,G5040,U,3817,U,S,78925,0,33.8127673,-84.3947017
1000 Northside Drive Northwest,Atlanta,GA,30318,"$1,280 - $2,750",2008,679,Apartment,"777-1,386",,1,1,1,1,5,NA,199,NA,11,NA,1,5,2,6,1,6,79,17,0,0,128,4,45,28,202,40,102,49,33.781827,-84.407546,4,17031,3.14,10.2,34.6,2.66,64,3.5,5700,0.16,0.012,0.57,0.067,0.00056,59,58,61,6,8,1,2,https://www.trulia.com/c/ca/atlanta/arium-westside-1000-northside-dr-nw-atlanta-ga-30318--2092108233,4036389516,13,121,600,1060,1.3121E+14,Block 1060,G5040,U,3817,U,S,13002,0,33.7819362,-84.4083326
