Address,City,State,Zip_Code,Rent_Per_Month,Year,Days_on_Trulia,Type,Sqft,Phone_Number,Bedroom_min,Bedroom_max,Bathroom_min,Bathroom_max,Assault,Arrest,Theft,Vandalism,Burglary,Crime_Other,Elementary_School_Count,Elementary_School_Avg_Score,Middle_School_Count,Middle_School_Avg_Score,High_School_Count,High_School_Avg_Score,Driving,Transit,Walking,Cycling,Restaurant,Groceries,Nightlife,Cafe,Shopping,Entertainment,Beauty,Active_life,Latitude,Longitude,EPA_Region,Population,Input_area.sq..miles.,Particulate_Matter,Ozone,NATA._Diesel_PM,NATA._Air_Toxics_Cancer_Risk,NATA._Respiratory_Hazard_Index,Traffic_Proximity_and_Volume,Lead_Paint_Indicator,Superfund_Proximity,RMP_Proximity,Hazardous_Waste_Proximity,Wastewater_Discharge_Indicator,Demographic_Index.,Minority_Population.,Low_Income_Population.,Linguistically_Isolated_Population.,Population_with_Less_Than_High_School_Education.,Population_under_Age_5.,Population_over_Age_64.,URL,Short_form_ID,STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,UATYPE,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10
6115 Lynxs Circle Southwest,Covington,GA,30014.0,"$1,025 ",,7.0,Single-Family Home,"1,125",,3.0,3.0,2.0,2.0,112.0,145.0,320.0,,,,1.0,4.0,1.0,5.0,1.0,7.0,99.0,0.0,0.0,0.0,15.0,1.0,2.0,2.0,27.0,0.0,18.0,1.0,33.586254,-83.87077099999999,4,4885,3.14,9.77,36.0,0.8370000000000001,49,1.8,140.0,0.23,0.011000000000000001,1.4,0.023,0.0021,59,65,53,2,24,4,14,https://www.trulia.com/c/ca/p/ga/covington/6115-lynxs-cir-sw-covington-ga-30014--1073975403,4048684251.0,13.0,217.0,100700.0,2015.0,132171000000000.0,Block 2015,G5040,U,3817.0,U,S,8716.0,0.0,33.5864134,-83.87029179999999
2865 Leisure Springs Circle,Decatur,GA,30034.0,"$1,050 ",,11.0,Single-Family Home,"1,386",,3.0,3.0,2.0,2.0,334.0,30.0,403.0,,,,1.0,3.0,1.0,3.0,1.0,5.0,90.0,10.0,0.0,0.0,11.0,1.0,4.0,2.0,2.0,3.0,7.0,4.0,33.703694,-84.23066,4,6562,3.14,9.89,34.8,1.53,55,2.9,2300.0,0.14,0.0098,0.25,0.1,0.017,65,97,32,2,7,5,16,https://www.trulia.com/c/ca/p/ga/decatur/2865-leisure-springs-cir-decatur-ga-30034--1045696959,4047070689.0,13.0,89.0,23412.0,3022.0,130890000000000.0,Block 3022,G5040,U,3817.0,U,S,64775.0,0.0,33.704303,-84.23101199999999
4660 Hamptons Drive,Alpharetta,GA,30004.0,"$2,100 ",1994.0,42.0,Single-Family Home,"3,325",,3.0,3.0,2.0,2.0,8.0,114.0,78.0,,,,1.0,7.0,1.0,8.0,1.0,8.0,98.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,34.209859,-84.257277,4,1531,3.14,9.45,36.4,0.612,44,1.5,56.0,0.078,0.01,0.11,0.036000000000000004,8.2e-06,18,16,20,2,5,13,13,https://www.trulia.com/c/ca/p/ga/alpharetta/4660-hamptons-dr-alpharetta-ga-30004--2029228319,4008787354.0,13.0,117.0,130305.0,1007.0,131171000000000.0,Block 1007,G5040,U,3817.0,U,S,61270.0,0.0,34.2097865,-84.2556501
6276 Cathedral Lane,Lithonia,GA,30038.0,"$1,095 ",1982.0,1.0,Single-Family Home,"1,340",,3.0,3.0,2.0,2.0,61.0,1.0,56.0,,,,1.0,3.0,1.0,3.0,1.0,3.0,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33.642842,-84.134781,4,5518,3.14,9.83,35.3,0.982,49,2.2,0.21,0.073,0.0094,1.1,0.055999999999999994,0.057999999999999996,70,98,41,0,4,9,5,https://www.trulia.com/c/ca/p/ga/lithonia/6276-cathedral-ln-lithonia-ga-30038--1042417208,4007810268.0,13.0,89.0,23418.0,4007.0,130890000000000.0,Block 4007,G5040,U,3817.0,U,S,1583942.0,0.0,33.6380615,-84.13843259999999
4827 Oakwood Court,Loganville,GA,30052.0,"$1,300 ",1991.0,19.0,Single-Family Home,"1,352",,3.0,3.0,2.0,2.0,17.0,7.0,30.0,,,,1.0,6.0,1.0,7.0,1.0,7.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.78915,-83.895364,4,1463,3.14,9.73,36.1,0.769,48,1.8,0.28,0.0,0.0087,0.07200000000000001,0.03,0.0,15,12,18,0,16,2,13,https://www.trulia.com/c/ca/p/ga/loganville/4827-oakwood-ct-loganville-ga-30052--2029565999,4038764429.0,13.0,297.0,110507.0,2000.0,132971000000000.0,Block 2000,G5040,U,3817.0,U,S,1874296.0,8086.0,33.796771299999996,-83.8951283
3808 Willow Wood Way,Lawrenceville,GA,30044.0,"$1,250 ",,9.0,Multi-Family,"1,576",,3.0,3.0,2.0,2.0,71.0,29.0,126.0,,,,1.0,5.0,1.0,5.0,1.0,4.0,97.0,2.0,0.0,0.0,63.0,5.0,7.0,5.0,38.0,1.0,24.0,11.0,33.933284,-84.125837,4,13305,3.14,9.86,36.1,1.33,55,2.3,310.0,6.9e-05,0.0094,0.92,0.15,0.0006,71,84,59,14,20,8,4,https://www.trulia.com/c/ca/p/ga/lawrenceville/3808-willow-wood-way-lawrenceville-ga-30044--1073017626,4048622255.0,13.0,135.0,50526.0,1009.0,131351000000000.0,Block 1009,G5040,U,3817.0,U,S,84048.0,0.0,33.9320765,-84.124711
3170 Haynes Park Drive,Lithonia,GA,30038.0,"$1,200 ",2015.0,1.0,,"1,390",,3.0,3.0,2.0,2.0,61.0,1.0,56.0,,,,1.0,3.0,1.0,2.0,1.0,3.0,95.0,5.0,0.0,0.0,27.0,2.0,6.0,1.0,34.0,0.0,19.0,3.0,33.690828,-84.076392,4,1905,3.14,9.82,35.4,0.9670000000000001,49,2.1,590.0,0.099,0.0091,0.3,0.046,0.0021,71,90,51,0,9,10,6,https://www.trulia.com/c/ca/p/ga/lithonia/3170-haynes-park-dr-lithonia-ga-30038--2029416051,4049000717.0,13.0,89.0,23418.0,1009.0,130890000000000.0,Block 1009,G5040,U,3817.0,U,S,736760.0,0.0,33.694001899999996,-84.08222640000001
20 Kendall Lane,Covington,GA,30014.0,"$1,275 ",,3.0,Single-Family Home,"1,501",,3.0,3.0,2.0,2.0,112.0,145.0,320.0,,,,1.0,5.0,1.0,4.0,1.0,4.0,99.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,33.413861,-83.849817,4,1275,3.14,9.74,36.1,0.47100000000000003,46,1.7,2.7,0.13,0.013999999999999999,0.085,0.021,0.0036,36,19,52,0,19,10,14,https://www.trulia.com/c/ca/p/ga/covington/20-kendall-ln-covington-ga-30014--1002649366,4037515386.0,13.0,217.0,100800.0,1058.0,132171000000000.0,Block 1058,G5040,R,,,S,61881.0,0.0,33.4130948,-83.848837
130 Branchwood Drive,Covington,GA,30016.0,"$1,045 ",,4.0,Single-Family Home,"1,322",,3.0,3.0,2.0,2.0,,,6.0,,169.0,,1.0,4.0,1.0,4.0,1.0,4.0,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.554421000000005,-83.960465,4,2835,3.14,9.76,35.8,0.919,49,2.1,4.1,0.067,0.011000000000000001,0.096,0.027999999999999997,0.00015,46,51,42,2,16,5,10,https://www.trulia.com/c/ca/p/ga/covington/130-branchwood-dr-covington-ga-30016--1007375258,4048830268.0,13.0,217.0,100902.0,1014.0,132171000000000.0,Block 1014,G5040,U,3817.0,U,S,370935.0,0.0,33.5515994,-83.95556440000001
3795 Rosemary Lane Southeast,Conyers,GA,30013.0,"$1,050 ",,26.0,Multi-Family,"1,300",,3.0,3.0,2.0,2.0,1.0,,1.0,,,,1.0,7.0,1.0,5.0,1.0,4.0,96.0,2.0,0.0,0.0,6.0,0.0,1.0,0.0,4.0,0.0,7.0,1.0,33.588824,-83.99812,4,3210,3.14,9.77,35.6,0.8420000000000001,49,2.1,0.5,0.0055,0.01,0.13,0.032,0.00058,45,58,33,5,10,3,13,https://www.trulia.com/c/ca/p/ga/conyers/3795-rosemary-ln-se-conyers-ga-30013--1001715822,4047924761.0,13.0,247.0,60406.0,1000.0,132471000000000.0,Block 1000,G5040,U,3817.0,U,S,2360548.0,41887.0,33.5843559,-84.00313050000001
2600 Falcon Ridge Drive,Grayson,GA,30017.0,"$1,350 ",1975.0,8.0,Single-Family Home,"1,702",,3.0,3.0,2.0,2.0,10.0,19.0,21.0,,,,1.0,8.0,1.0,8.0,1.0,8.0,99.0,1.0,0.0,0.0,7.0,0.0,1.0,0.0,6.0,0.0,16.0,5.0,33.863687,-83.983525,4,6790,3.14,9.76,36.1,0.912,50,1.9,480.0,0.023,0.0083,0.085,0.045,0.0,36,46,25,1,7,6,15,https://www.trulia.com/c/ca/p/ga/grayson/2600-falcon-ridge-dr-grayson-ga-30017--2029291045,4009729883.0,13.0,135.0,50721.0,3002.0,131351000000000.0,Block 3002,G5040,U,3817.0,U,S,61822.0,0.0,33.8648624,-83.98349300000001
4531 Newcastle Circle,Lithonia,GA,30038.0,"$1,265 ",1974.0,24.0,Single-Family Home,"1,764",,3.0,3.0,2.0,2.0,61.0,1.0,56.0,,,,1.0,2.0,1.0,3.0,1.0,3.0,95.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,33.675348,-84.20403,4,7995,3.14,9.85,34.9,1.18,53,2.5,68.0,0.025,0.0094,0.54,0.08800000000000001,0.059000000000000004,64,99,29,0,8,4,12,https://www.trulia.com/c/ca/p/ga/lithonia/4531-newcastle-cir-lithonia-ga-30038--2029420299,4047991833.0,13.0,89.0,23426.0,1013.0,130890000000000.0,Block 1013,G5040,U,3817.0,U,S,53917.0,0.0,33.6746837,-84.202101
3269 Dublin Drive,Decatur,GA,30032.0,"$1,100 ",1963.0,4.0,Single-Family Home,"1,254",,3.0,3.0,2.0,2.0,339.0,62.0,301.0,,,,1.0,2.0,1.0,3.0,1.0,3.0,84.0,15.0,0.0,0.0,8.0,1.0,2.0,0.0,5.0,2.0,6.0,2.0,33.724685,-84.256152,4,10709,3.14,9.93,34.8,1.37,55,2.8,1500.0,0.35,0.01,0.15,0.11,0.0017,76,94,60,0,19,7,18,https://www.trulia.com/c/ca/p/ga/decatur/3269-dublin-dr-decatur-ga-30032--1002791334,3066643355.0,13.0,89.0,23505.0,1009.0,130890000000000.0,Block 1009,G5040,U,3817.0,U,S,51678.0,0.0,33.724472999999996,-84.25493759999999
